index,area,city
1015,Eguvaramapuram ,4
1016,Ekilapalli ,4
1017,Endapalli ,4
1018,Ethirajupalli ,4
1019,Etur ,4
1020,Gadela ,4
1021,Gadikota ,4
1022,Galivaripalli ,4
1023,Galiveedu ,4
1024,Ganganapalli ,4
1025,Gangaperur ,4
1026,Gangarapupalli ,4
1027,Ganugapenta ,4
1028,Gollapalli ,4
1029,Gollapalli ,4
1030,Gopagudi Palli ,4
1031,Gopamambapuram ,4
1032,Gopanapalli ,4
1033,Gopavaram ,4
1034,Gopavaram Project Site ,4
1035,Goramchervu ,4
1036,Gorlamudiveedu ,4
1037,Govindampalli ,4
1038,Govindayapalli ,4
1039,Gudem ,4
1040,Gundlacheruvu ,4
1041,Gundlapalli ,4
1042,Gundlur ,4
1043,Gunnikuntla ,4
1044,Gunthapalli ,4
1045,Guntimadugu ,4
1046,Guriginja Kunta ,4
1047,Gurrappagaripalli ,4
1048,Gutta Kinda Racha Palli ,4
1049,Guttapalli ,4
1050,Guvvalachervu ,4
1051,Hasanapuram ,4
1052,Industrial Estate ,4
1053,Itigullapadu ,4
1054,Itimarpuram ,4
1055,Jangalapalli ,4
1056,Jangampalli ,4
1057,Jangamrajupalli ,4
1058,Jayanagar  (Cuddapah),4
1059,Jyothi ,4
1060,K.Sunkesala ,4
1061,Kakulavaram ,4
1062,Kalasapadu ,4
